,0
721,262276567
722,18613720
723,457180633
724,66323930
725,337118683
726,446301658
727,713950684
728,4720094
729,393217504
730,112854496
731,269747683
732,8127974
733,61081063
734,224658927
735,340788724
736,256771573
737,315229688
738,152962555
739,304481795
740,119408131
741,92014087
742,144311817
743,275121673
744,101582348
745,32245261
746,571344398
747,411567632
748,459539986
749,169477652
750,138937877
751,469370392
752,288622106
753,564397595
754,482739747
755,205653543
756,3278376
757,245237288
758,498075176
759,524944940
760,263729
761,408028722
762,136709681
763,50988599
764,2885179
765,179963454
766,207619652
767,288491078
768,52561478
769,454035017
770,155846217
771,337249867
772,366085710
773,642516560
774,219416144
775,3671636
776,598738518
777,149423705
778,397149786
779,17696346
780,70125148
781,8128092
782,34211422
783,541722207
784,218629728
785,26216033
786,407635554
787,181536356
788,304219749
789,403179115
790,670303853
791,755893876
792,66717301
793,505546358
794,603195004
795,170788477
796,126355081
797,221382284
798,710280845
799,76023439
800,190449298
801,520226452
802,274073241
803,382207642
804,64751258
805,594019996
806,60425885
807,189269661
808,228066973
809,379586207
810,450758302
811,138151586
812,502924962
813,190056102
814,341706406
815,8128168
816,135661229
817,166332078
818,168036014
819,164890285
820,417728177
821,87033517
822,99354293
823,60819126
824,301729463
825,15861431
826,20711097
827,11273914
828,402523834
829,105383610
830,457311934
831,424150720
832,217581249
833,137234114
834,75892417
835,7341766
836,74319563
837,284427983
838,353240786
839,257951443
840,565053139
841,124126933
842,136447699
843,396232404
844,457311960
845,447612634
846,376440541
847,594675421
848,311690976
849,405538531
850,44959460
851,372115177
852,606340843
853,78907117
854,176948975
855,16254708
856,300025591
857,164103927
858,308414201
859,18220793
860,29755131
861,341968637
862,78907135
863,33294084
864,140510981
865,134612747
866,738854670
867,20055823
868,164759314
869,331089682
870,511706900
871,186779413
872,185468691
873,99223327
874,251528992
875,571213602
876,304613156
877,241436459
878,619448109
879,35653424
880,297797425
881,41944881
882,237766452
883,236455733
884,544737078
885,22677302
886,4589364
887,24643386
888,542115643
889,461113149
890,40765246
891,64882495
892,244844353
893,379586369
